stakeholder,stakeholder_label,axis,stance,stance_label,n_with_stance,n_addressing_axis,stakeholder_share,corpus_share,preference_index
ADV,Patient advocate,Human oversight,H2,Risk-tiered oversight,37,72,0.514,0.657,0.783
ADV,Patient advocate,Human oversight,H1,Universal mandatory oversight,33,72,0.458,0.314,1.46
ADV,Patient advocate,Human oversight,H3,Recommended not mandated,2,72,0.028,0.021,1.306
ADV,Patient advocate,Regulatory approach,R1,New AI-specific regulation,35,70,0.5,0.277,1.807
ADV,Patient advocate,Regulatory approach,R2,Risk-tiered adaptation,17,70,0.243,0.289,0.84
ADV,Patient advocate,Regulatory approach,R3,Clarify existing rules,12,70,0.171,0.348,0.492
ADV,Patient advocate,Regulatory approach,R4,Reduce burden,4,70,0.057,0.046,1.248
ADV,Patient advocate,Regulatory approach,R5,Industry self-governance,2,70,0.029,0.041,0.714
ADV,Patient advocate,Liability allocation,L2,Shared/distributed liability,31,48,0.646,0.622,1.039
ADV,Patient advocate,Liability allocation,L1,Increase developer accountability,10,48,0.208,0.105,1.98
ADV,Patient advocate,Liability allocation,L4,Federal safe harbor,6,48,0.125,0.21,0.595
ADV,Patient advocate,Liability allocation,L5,New legal framework,1,48,0.021,0.055,0.384
ADV,Patient advocate,Reimbursement,P5,Multiple reforms,24,47,0.511,0.421,1.213
ADV,Patient advocate,Reimbursement,P2,Value-based payment,11,47,0.234,0.221,1.057
ADV,Patient advocate,Reimbursement,P1,AI-specific payment pathways,8,47,0.17,0.186,0.915
ADV,Patient advocate,Reimbursement,P4,CMS pilot/demonstration,4,47,0.085,0.111,0.768
ADV,Patient advocate,Interoperability,D2,Expand data types,23,42,0.548,0.51,1.074
ADV,Patient advocate,Interoperability,D1,Strengthen current standards,13,42,0.31,0.334,0.927
ADV,Patient advocate,Interoperability,D3,Patient-controlled data,3,42,0.071,0.038,1.872
ADV,Patient advocate,Interoperability,D5,Federal data infrastructure,2,42,0.048,0.045,1.071
ADV,Patient advocate,Interoperability,D4,Prevent gatekeeping,1,42,0.024,0.072,0.331
ADV,Patient advocate,Evaluation,E3,Full lifecycle,50,62,0.806,0.789,1.021
ADV,Patient advocate,Evaluation,E2,Post-market monitoring primary,5,62,0.081,0.056,1.442
ADV,Patient advocate,Evaluation,E5,Federal evaluation infrastructure,5,62,0.081,0.073,1.109
ADV,Patient advocate,Evaluation,E1,Pre-market validation primary,2,62,0.032,0.039,0.814
AIC,AI company,Human oversight,H2,Risk-tiered oversight,14,16,0.875,0.657,1.332
AIC,AI company,Human oversight,H1,Universal mandatory oversight,2,16,0.125,0.314,0.399
AIC,AI company,Regulatory approach,R2,Risk-tiered adaptation,8,20,0.4,0.289,1.382
AIC,AI company,Regulatory approach,R3,Clarify existing rules,6,20,0.3,0.348,0.863
AIC,AI company,Regulatory approach,R1,New AI-specific regulation,4,20,0.2,0.277,0.723
AIC,AI company,Regulatory approach,R5,Industry self-governance,1,20,0.05,0.041,1.231
