coalition,comment_id,organization,commenter_type,n_proposals,dist_to_centroid,excerpt_1,excerpt_2,excerpt_3
Comprehensive Pragmatists,HHS-ONC-2026-0001-0289,PointClickCare,HIT,12,1.228,"Clear expectations regarding documentation, monitoring, and clinician oversight will reduce uncertainty and support responsible adoption.","For example, guidance could clarify that AI‑assisted documentation where clinicians retain final review and attestation does not by itself constitute fraudulent intent, while still requiring appropriate monitoring and audit trails.","Clarification is needed regarding how clinician review should be documented when AI assists in drafting content, and how providers should approach governance and monitoring responsibilities over time."
Comprehensive Pragmatists,HHS-ONC-2026-0001-0234,Cleveland Clinic,HSP,15,1.228,"Effective evaluation of non-medical-device AI requires a full lifecycle approach integrating pre- deployment validation, post-deployment monitoring, and human-centered workflow assessment.","Page 8 of 9 --- Page 9 --- At the same time, research often under-characterizes real-world performance, equity impacts, and full lifecycle costs.","o Continuous performance monitoring to detect degradation and prevent model drift, with adverse events investigated using processes comparable to existing medical device oversight."
Comprehensive Pragmatists,HHS-ONC-2026-0001-0072,American Urological Association (AUA),MPS,15,1.228,"Also, cost-effectiveness studies often fail to clarify who bears costs versus who gains benefits when using AI and frequently overlook full lifecycle expenses, including integration, --- Page 7 --- cybersecurity, monitoring, revalidation, and governance.","Benchmarking tools: federated evaluation frameworks that allow models to be tested across sites without exporting raw protected health information (PHI); standardized test harnesses and reporting templates for calibration, subgroup equity, drift, and clinical utility; and shared registries for post-market performance learning.","Clinician time spent on required post-deployment monitoring of AI for data drift, bias, and safety should also be recognized."
Comprehensive Pragmatists,HHS-ONC-2026-0001-0389,"Homecare Homebase, LLC",HIT,10,1.228,"Governance expectations should be proportionate to use-case risk and address validation, bias assessment, transparency, monitoring, and model drift management.","Patients and regulators appropriately expect that clinicians review, validate, and attest to the accuracy of clinical notes and care plans.","Supporting research in this area would allow policymakers to evaluate whether clinically indicated preventive supports, when algorithmically validated and outcome-linked, warrant clearer recognition within medical expense definitions and coverage structures."
Comprehensive Pragmatists,HHS-ONC-2026-0001-0236,(individual),IND,15,1.228,This concept underscores the need for lifecycle evaluation and continuous monitoring rather than episodic or manual oversight models.,This distinction supports scalable safety controls consistent with lifecycle governance approaches reflected in NIST and FDA/IMDRF lifecycle framing.,"[CMS- CCM-1] [PFS-STAT-1] [PFS-REG-1] Research & development: fund implementation science and shared evaluation infrastructure; support multi-site learning networks and lifecycle monitoring toolkits; and prioritize equity, human factors, and security performance."
Selective Universalists,HHS-ONC-2026-0001-0433,American Foundation for the Blind,ADV,6,0.868,"Critically, AI used in healthcare must be developed in a way that avoids unfair treatment of people with disabilities.","In addition, training data and decision parameters must be inclusive of people with disabilities with a wide range of health conditions and care needs.","However, there is already growing evidence that AI developers and deployers must ensure that AI is accurate, does not disadvantage certain groups, and is trained on inclusive data."
Selective Universalists,HHS-ONC-2026-0001-0413,"Society for Psychoanalysis and Psychoanalytic Psychology, American Psychological Association",ADV,4,0.868,"Our concerns fall into the following headings: Patient Safety, Privacy, Clinical Efficacy and Quality, Clear and Enforceable Regulation.","Patient Safety Federal and state governments historically have been responsible for ensuring public safety through regulation of health care products, and regulation of health care clinicians through credentialing and oversight systems.",Privacy Psychotherapy requires strict requirements to ensure confidentiality of deeply sensitive and personal information that inevitable arises mental health care.
Selective Universalists,HHS-ONC-2026-0001-0299,(individual),IND,9,0.868,Premature acceleration may compress the very validation processes that ensure patient safety and clinical effectiveness.,"Accelerating adoption without adequate attention to implementation—including workforce readiness, workflow integration, and ongoing monitoring—may undermine both clinician trust and patient safety.","However, while healthcare systems require system-level optimization, clinical care itself is fundamentally relational, centered on the patient–provider encounter."
Selective Universalists,HHS-ONC-2026-0001-0115,(individual),IND,1,0.868,"As a Licensed Clinical Social Worker with over 30 years of experience, I am writing to express grave concerns re: the risks of accelerating the adoption and use of AI as part of clinical care.",,
Selective Universalists,HHS-ONC-2026-0001-0184,(individual),IND,1,1.207,"As a mental health professional, I support the Psychotherapy Action Network s (PsiAN) call for caution regarding AI in clinical care.",,
Limited Engagement,HHS-ONC-2026-0001-0035,(individual),IND,0,1.288,Hi my name is Brian Graham aka Cosmicraftsman I am an artist from Perth Western Australia and a creator..,,
Limited Engagement,HHS-ONC-2026-0001-0025,(individual),IND,0,1.288,"You can comment on aspects such as the balance between innovation and patient protection, transparency in AI systems, and how to encourage ethical use of AI in healthcare",,
Limited Engagement,HHS-ONC-2026-0001-0065,(individual),IND,1,1.457,"HHS, CMS, FEMA, FBI, ASTP/ONC and ASPR should consider a cross sector and cross agency AI interoperability accelerator focused on emergency response, public safety, and disaster operations to enable harmonized and standardized data exchange that would encompass all public safety, emergency response and disaster domains using standards based APIs, which...",,
Limited Engagement,HHS-ONC-2026-0001-0435,(individual),IND,3,1.457,"Clinical data, genomics data, rare disease data, phenomics and Mendelian disease data, need to be integrated to bring digital biology and precision medicine to life.",,
Limited Engagement,HHS-ONC-2026-0001-0405,Helfie AI,HIT,3,1.505,"Health systems are increasingly recognizing AI’s capacity to enhance access, improve operational efficiency, and support clinical decision-making at scale.","For example, we feel that Helfie AI’s platform can enhance current remote patient monitoring programs, be utilized for pre-admission triage and post-discharge support, and can augment the management of chronic disease in a safe and effective way.","Patients must remain empowered participants in their care, supported by technologies that meet the highest thresholds for trust, accountability, and clinical integrity."
