stakeholder,axis,stance,stance_label,n_with_stance,stakeholder_share,corpus_share,preference_index,direction,interest_alignment_hypothesis
Labor,Reimbursement,P1,AI-specific payment pathways,3,0.75,0.186,4.038,OVER-endorse,
Medical society,Evaluation,E1,Pre-market validation primary,6,0.136,0.039,3.458,OVER-endorse,
Individual,Liability allocation,L5,New legal framework,3,0.167,0.055,3.057,OVER-endorse,
Individual,Evaluation,E5,Federal evaluation infrastructure,12,0.214,0.073,2.93,OVER-endorse,
Individual,Evaluation,E1,Pre-market validation primary,6,0.107,0.039,2.721,OVER-endorse,
AI company,Reimbursement,P4,CMS pilot/demonstration,5,0.294,0.111,2.655,OVER-endorse,
Individual,Interoperability,D3,Patient-controlled data,4,0.1,0.038,2.636,OVER-endorse,
Labor,Regulatory approach,R3,Clarify existing rules,4,0.8,0.348,2.301,OVER-endorse,
Individual,Human oversight,H3,Recommended not mandated,3,0.048,0.021,2.238,OVER-endorse,
Health IT,Evaluation,E4,Developer-led,9,0.089,0.042,2.112,OVER-endorse,
Health system,Interoperability,D4,Prevent gatekeeping,5,0.147,0.072,2.03,OVER-endorse,
Patient advocate,Liability allocation,L1,Increase developer accountability,10,0.208,0.105,1.98,OVER-endorse,
Individual,Regulatory approach,R1,New AI-specific regulation,35,0.547,0.277,1.977,OVER-endorse,
Tech/pharma,Regulatory approach,R2,Risk-tiered adaptation,4,0.571,0.289,1.973,OVER-endorse,
Labor,Interoperability,D2,Expand data types,3,1.0,0.51,1.959,OVER-endorse,
Payer,Reimbursement,P2,Value-based payment,3,0.429,0.221,1.937,OVER-endorse,
Health IT,Regulatory approach,R5,Industry self-governance,9,0.078,0.041,1.921,OVER-endorse,
Individual,Reimbursement,P4,CMS pilot/demonstration,5,0.208,0.111,1.879,OVER-endorse,
Patient advocate,Interoperability,D3,Patient-controlled data,3,0.071,0.038,1.872,OVER-endorse,Patient-controlled data flows protect patient agency
Patient advocate,Regulatory approach,R1,New AI-specific regulation,35,0.5,0.277,1.807,OVER-endorse,New regulation creates federal floor for safety
Policy/academic,Interoperability,D1,Strengthen current standards,3,0.6,0.334,1.794,OVER-endorse,
Medical society,Liability allocation,L1,Increase developer accountability,6,0.188,0.105,1.79,OVER-endorse,
Payer,Regulatory approach,R2,Risk-tiered adaptation,5,0.5,0.289,1.728,OVER-endorse,
Payer,Interoperability,D1,Strengthen current standards,4,0.571,0.334,1.707,OVER-endorse,
Tech/pharma,Interoperability,D1,Strengthen current standards,4,0.571,0.334,1.707,OVER-endorse,
Individual,Human oversight,H1,Universal mandatory oversight,33,0.532,0.314,1.696,OVER-endorse,
Individual,Interoperability,D5,Federal data infrastructure,3,0.075,0.045,1.673,OVER-endorse,
Medical society,Reimbursement,P1,AI-specific payment pathways,9,0.31,0.186,1.669,OVER-endorse,
Health IT,Reimbursement,P3,Remove FFS barriers,10,0.1,0.061,1.647,OVER-endorse,
Medical society,Human oversight,H1,Universal mandatory oversight,26,0.51,0.314,1.626,OVER-endorse,Universal oversight enshrines clinician role
Health system,Evaluation,E4,Developer-led,3,0.068,0.042,1.614,OVER-endorse,
Individual,Liability allocation,L1,Increase developer accountability,3,0.167,0.105,1.59,OVER-endorse,
Health IT,Liability allocation,L4,Federal safe harbor,26,0.333,0.21,1.585,OVER-endorse,Safe harbor reduces vendor liability
Individual,Evaluation,E2,Post-market monitoring primary,5,0.089,0.056,1.584,OVER-endorse,
Health system,Reimbursement,P4,CMS pilot/demonstration,7,0.171,0.111,1.545,OVER-endorse,
Patient advocate,Regulatory approach,R3,Clarify existing rules,12,0.171,0.348,0.492,UNDER-endorse,
Health system,Regulatory approach,R1,New AI-specific regulation,6,0.133,0.277,0.481,UNDER-endorse,
Individual,Regulatory approach,R2,Risk-tiered adaptation,8,0.125,0.289,0.432,UNDER-endorse,
Individual,Interoperability,D1,Strengthen current standards,5,0.125,0.334,0.374,UNDER-endorse,
Health IT,Regulatory approach,R1,New AI-specific regulation,9,0.078,0.277,0.282,UNDER-endorse,
Health IT,Human oversight,H1,Universal mandatory oversight,8,0.082,0.314,0.261,UNDER-endorse,
