stakeholder,stakeholder_label,axis,stance,stance_label,n_with_stance,n_addressing_axis,n_stakeholder_total,share_of_addressing,ci_lo,ci_hi
ADV,Patient advocate,Human oversight,H2,Risk-tiered oversight,37,72,77,0.514,0.401,0.626
ADV,Patient advocate,Human oversight,H1,Universal mandatory oversight,33,72,77,0.458,0.348,0.573
ADV,Patient advocate,Human oversight,H3,Recommended not mandated,2,72,77,0.028,0.008,0.096
ADV,Patient advocate,Regulatory approach,R1,New AI-specific regulation,35,70,77,0.5,0.386,0.614
ADV,Patient advocate,Regulatory approach,R2,Risk-tiered adaptation,17,70,77,0.243,0.158,0.355
ADV,Patient advocate,Regulatory approach,R3,Clarify existing rules,12,70,77,0.171,0.101,0.276
ADV,Patient advocate,Regulatory approach,R4,Reduce burden,4,70,77,0.057,0.022,0.138
ADV,Patient advocate,Regulatory approach,R5,Industry self-governance,2,70,77,0.029,0.008,0.098
ADV,Patient advocate,Liability allocation,L2,Shared/distributed liability,31,48,77,0.646,0.504,0.766
ADV,Patient advocate,Liability allocation,L1,Increase developer accountability,10,48,77,0.208,0.117,0.343
ADV,Patient advocate,Liability allocation,L4,Federal safe harbor,6,48,77,0.125,0.059,0.247
ADV,Patient advocate,Liability allocation,L5,New legal framework,1,48,77,0.021,0.004,0.109
ADV,Patient advocate,Reimbursement,P5,Multiple reforms,24,47,77,0.511,0.372,0.647
ADV,Patient advocate,Reimbursement,P2,Value-based payment,11,47,77,0.234,0.136,0.372
ADV,Patient advocate,Reimbursement,P1,AI-specific payment pathways,8,47,77,0.17,0.089,0.301
ADV,Patient advocate,Reimbursement,P4,CMS pilot/demonstration,4,47,77,0.085,0.034,0.199
ADV,Patient advocate,Interoperability,D2,Expand data types,23,42,77,0.548,0.399,0.688
ADV,Patient advocate,Interoperability,D1,Strengthen current standards,13,42,77,0.31,0.191,0.46
ADV,Patient advocate,Interoperability,D3,Patient-controlled data,3,42,77,0.071,0.025,0.19
ADV,Patient advocate,Interoperability,D5,Federal data infrastructure,2,42,77,0.048,0.013,0.158
ADV,Patient advocate,Interoperability,D4,Prevent gatekeeping,1,42,77,0.024,0.004,0.123
ADV,Patient advocate,Evaluation,E3,Full lifecycle,50,62,77,0.806,0.691,0.886
ADV,Patient advocate,Evaluation,E2,Post-market monitoring primary,5,62,77,0.081,0.035,0.175
ADV,Patient advocate,Evaluation,E5,Federal evaluation infrastructure,5,62,77,0.081,0.035,0.175
ADV,Patient advocate,Evaluation,E1,Pre-market validation primary,2,62,77,0.032,0.009,0.11
AIC,AI company,Human oversight,H2,Risk-tiered oversight,14,16,22,0.875,0.64,0.965
AIC,AI company,Human oversight,H1,Universal mandatory oversight,2,16,22,0.125,0.035,0.36
AIC,AI company,Regulatory approach,R2,Risk-tiered adaptation,8,20,22,0.4,0.219,0.613
AIC,AI company,Regulatory approach,R3,Clarify existing rules,6,20,22,0.3,0.145,0.519
AIC,AI company,Regulatory approach,R1,New AI-specific regulation,4,20,22,0.2,0.081,0.416
AIC,AI company,Regulatory approach,R5,Industry self-governance,1,20,22,0.05,0.009,0.236
AIC,AI company,Regulatory approach,R4,Reduce burden,1,20,22,0.05,0.009,0.236
AIC,AI company,Liability allocation,L2,Shared/distributed liability,8,12,22,0.667,0.391,0.862
AIC,AI company,Liability allocation,L4,Federal safe harbor,2,12,22,0.167,0.047,0.448
AIC,AI company,Liability allocation,L1,Increase developer accountability,1,12,22,0.083,0.015,0.354
AIC,AI company,Liability allocation,L5,New legal framework,1,12,22,0.083,0.015,0.354
AIC,AI company,Reimbursement,P5,Multiple reforms,8,17,22,0.471,0.262,0.69
AIC,AI company,Reimbursement,P4,CMS pilot/demonstration,5,17,22,0.294,0.133,0.531
AIC,AI company,Reimbursement,P1,AI-specific payment pathways,3,17,22,0.176,0.062,0.41
AIC,AI company,Reimbursement,P2,Value-based payment,1,17,22,0.059,0.01,0.27
AIC,AI company,Interoperability,D2,Expand data types,6,15,22,0.4,0.198,0.643
AIC,AI company,Interoperability,D1,Strengthen current standards,6,15,22,0.4,0.198,0.643
AIC,AI company,Interoperability,D5,Federal data infrastructure,2,15,22,0.133,0.037,0.379
AIC,AI company,Interoperability,D4,Prevent gatekeeping,1,15,22,0.067,0.012,0.298
AIC,AI company,Evaluation,E3,Full lifecycle,14,18,22,0.778,0.548,0.91
AIC,AI company,Evaluation,E5,Federal evaluation infrastructure,2,18,22,0.111,0.031,0.328
AIC,AI company,Evaluation,E4,Developer-led,1,18,22,0.056,0.01,0.258
AIC,AI company,Evaluation,E2,Post-market monitoring primary,1,18,22,0.056,0.01,0.258
HIT,Health IT,Human oversight,H2,Risk-tiered oversight,87,97,124,0.897,0.821,0.943
HIT,Health IT,Human oversight,H1,Universal mandatory oversight,8,97,124,0.082,0.042,0.154
HIT,Health IT,Human oversight,H3,Recommended not mandated,2,97,124,0.021,0.006,0.072
HIT,Health IT,Regulatory approach,R3,Clarify existing rules,58,116,124,0.5,0.41,0.59
HIT,Health IT,Regulatory approach,R2,Risk-tiered adaptation,35,116,124,0.302,0.226,0.391
HIT,Health IT,Regulatory approach,R5,Industry self-governance,9,116,124,0.078,0.041,0.141
HIT,Health IT,Regulatory approach,R1,New AI-specific regulation,9,116,124,0.078,0.041,0.141
HIT,Health IT,Regulatory approach,R4,Reduce burden,5,116,124,0.043,0.019,0.097
